WARAKURNA,Ngaanyatjarra Lands School,,,,,,,,,,,,,,
ASHFIELD,Ashfield Primary School,,,,,,,,,,,,,,
ATTADALE,Attadale Primary School,Santa Maria College,Mel Maria Catholic Primary School,,,,,,,,,,,,
AUGUSTA,Augusta Primary School,,,,,,,,,,,,,,
BABAKIN,Babakin Primary School,,,,,,,,,,,,,,
BADGINGARRA,Badgingarra Primary School,,,,,,,,,,,,,,
BAKERS HILL,Bakers Hill Primary School,,,,,,,,,,,,,,
BALDIVIS,Baldivis Primary School,Settlers Primary School,Rockingham John Calvin School,Tranby College,Makybe Rise Primary School,Baldivis Secondary College,Mother Teresa Catholic School,Tuart Rise Primary School,Baldivis Gardens Primary School,Rivergums Primary School,,,,,
BALINGUP,Balingup Primary School,,,,,,,,,,,,,,
BAYSWATER,Bayswater Primary School,Hillcrest Primary School,Durham Road School,St Columba's School,,,,,,,,,,,
BEACON,Beacon Primary School,,,,,,,,,,,,,,
BENCUBBIN,Bencubbin Primary School,,,,,,,,,,,,,,
BICTON,Bicton Primary School,,,,,,,,,,,,,,
BINDOON,Bindoon Primary School,Catholic Agricultural College,,,,,,,,,,,,,
BINNU,Binnu Primary School,,,,,,,,,,,,,,
BLUFF POINT,Bluff Point Primary School,Meekatharra School Of The Air,,,,,,,,,,,,,
BOLGART,Bolgart Primary School,,,,,,,,,,,,,,
BOORAGOON,Booragoon Primary School,,,,,,,,,,,,,,
BORDEN,Borden Primary School,,,,,,,,,,,,,,
BOULDER,Boulder Primary School,Kalgoorlie School Of The Air,O'Connor Education Support Centre,St Joseph's School,SMYL Community College - Moran Street Campus,,,,,,,,,,
BOYANUP,Boyanup Primary School,Child Side School,,,,,,,,,,,,,
BREMER BAY,Bremer Bay Primary School,,,,,,,,,,,,,,
BRENTWOOD,Brentwood Primary School,,,,,,,,,,,,,,
BROOMEHILL,Broomehill Primary School,,,,,,,,,,,,,,
BRUNSWICK JUNCTION,Brunswick Junction Primary School,,,,,,,,,,,,,,
EAST BUNBURY,Cooinda Primary School,,,,,,,,,,,,,,
BUREKUP,River Valley Primary School,,,,,,,,,,,,,,
BYFORD,Byford Primary School,Marri Grove Primary School,Byford John Calvin School,West Byford Primary School,Byford Secondary College,Salvado Catholic College,Woodland Grove Primary School,,,,,,,,
CADOUX,Cadoux Primary School,,,,,,,,,,,,,,
CALINGIRI,Calingiri Primary School,,,,,,,,,,,,,,
CALISTA,Calista Primary School,Kwinana Christian School,Peter Carnley Anglican Community School - Calista Campus,,,,,,,,,,,,
BECKENHAM,Beckenham Primary School,,,,,,,,,,,,,,
CAPEL,Capel Primary School,,,,,,,,,,,,,,
CAREY PARK,Carey Park Primary School,,,,,,,,,,,,,,
KEWDALE,Carlisle Primary School,Kewdale Primary School,Australian Islamic College (Kewdale),,,,,,,,,,,,
WEST SWAN,Caversham Primary School,,,,,,,,,,,,,,
NABAWA,Chapman Valley Primary School,,,,,,,,,,,,,,
DJUGERARI COMMUNITY,Djugerari Remote Community School,,,,,,,,,,,,,,
CHIDLOW,Chidlow Primary School,,,,,,,,,,,,,,
CHRISTMAS CREEK,Wangkatjungka Remote Community School,,,,,,,,,,,,,,
CITY BEACH,City Beach Primary School,Kapinara Primary School,Holy Spirit School,The Japanese School in Perth,International School of Western Australia,,,,,,,,,,
CLAREMONT,Freshwater Bay Primary School,St Thomas' Primary School,Christ Church Grammar School,Methodist Ladies' College,Taylors College,,,,,,,,,,
CONDINGUP,Condingup Primary School,,,,,,,,,,,,,,
COOGEE,Coogee Primary School,,,,,,,,,,,,,,
BEELIAR,South Coogee Primary School,Beeliar Primary School,,,,,,,,,,,,,
COOLGARDIE,Coolgardie Primary School,Christian Aboriginal Parent-Directed School,,,,,,,,,,,,,
COOROW,Coorow Primary School,,,,,,,,,,,,,,
PEPPERMINT GROVE,Cottesloe Primary School,Presbyterian Ladies' College,,,,,,,,,,,,,
COTTESLOE,North Cottesloe Primary School,,,,,,,,,,,,,,
COWARAMUP,Cowaramup Primary School,,,,,,,,,,,,,,
CRANBROOK,Cranbrook Primary School,,,,,,,,,,,,,,
CUE,Cue Primary School,,,,,,,,,,,,,,
DALKEITH,Dalkeith Primary School,,,,,,,,,,,,,,
DAMPIER,Dampier Primary School,,,,,,,,,,,,,,
NORTH DANDALUP,North Dandalup Primary School,,,,,,,,,,,,,,
DANDARAGAN,Dandaragan Primary School,,,,,,,,,,,,,,
DARDANUP,Dardanup Primary School,Our Lady of Lourdes School,,,,,,,,,,,,,
DARLINGTON,Darlington Primary School,Helena College,Treetops Montessori School,,,,,,,,,,,,
DOUBLEVIEW,Doubleview Primary School,Holy Rosary School,,,,,,,,,,,,,
DUNSBOROUGH,Dunsborough Primary School,Our Lady of the Cape Primary School,Cornerstone Christian College,,,,,,,,,,,,
DWELLINGUP,Dwellingup Primary School,,,,,,,,,,,,,,
EDEN HILL,Eden Hill Primary School,,,,,,,,,,,,,,
EMBLETON,Embleton Primary School,,,,,,,,,,,,,,
ENEABBA,Eneabba Primary School,,,,,,,,,,,,,,
FRANKLAND RIVER,Frankland River Primary School,,,,,,,,,,,,,,
NORTH FREMANTLE,North Fremantle Primary School,,,,,,,,,,,,,,
GAIRDNER,Gairdner Primary School,,,,,,,,,,,,,,
GASCOYNE JUNCTION,Gascoyne Junction Remote Community School,,,,,,,,,,,,,,
GLEN FORREST,Glen Forrest Primary School,Helena College,,,,,,,,,,,,,
VIA FITZROY CROSSING,Bayulu Remote Community School,,,,,,,,,,,,,,
MOUNT CLAREMONT,Mount Claremont Primary School,John XXIII College,Moerlina School,The Quintilian School,,,,,,,,,,,
GREENBUSHES,Greenbushes Primary School,,,,,,,,,,,,,,
GREENMOUNT,Greenmount Primary School,St Anthony's School,,,,,,,,,,,,,
GUILDFORD,Guildford Primary School,Guildford Grammar School,,,,,,,,,,,,,
NORTH BEACH,North Beach Primary School,Our Lady of Grace School,,,,,,,,,,,,,
HELENA VALLEY,Helena Valley Primary School,,,,,,,,,,,,,,
HERNE HILL,Herne Hill Primary School,,,,,,,,,,,,,,
HIGHGATE,Highgate Primary School,Sacred Heart Primary School,,,,,,,,,,,,,
HIGH WYCOMBE,High Wycombe Primary School,Edney Primary School,Matthew Gibney Catholic Primary School,,,,,,,,,,,,
HILTON,Hilton Primary School,Our Lady of Mount Carmel School,,,,,,,,,,,,,
NEDLANDS,Hollywood Primary School,Nedlands Primary School,Loreto Nedlands,,,,,,,,,,,,
HYDEN,Hyden Primary School,,,,,,,,,,,,,,
INGLEWOOD,Inglewood Primary School,St Peter's Primary School,,,,,,,,,,,,,
INNALOO,Yuluma Primary School,St Dominic's School,,,,,,,,,,,,,
SUCCESS,Jandakot Primary School,Success Primary School,Emmanuel Catholic College,,,,,,,,,,,,
JARRAHDALE,Jarrahdale Primary School,,,,,,,,,,,,,,
JOLIMONT,Jolimont Primary School,,,,,,,,,,,,,,
KALANNIE,Kalannie Primary School,,,,,,,,,,,,,,
KALUMBURU,Kalumburu Remote Community School,,,,,,,,,,,,,,
KARRIDALE,Karridale Primary School,,,,,,,,,,,,,,
KARRINYUP,Karrinyup Primary School,Newborough Primary School,Deanmore Primary School,Our Lady of Good Counsel School,St Mary's Anglican Girls' School,,,,,,,,,,
KENDENUP,Kendenup Primary School,,,,,,,,,,,,,,
KENSINGTON,Kensington Primary School,Kensington Secondary School,,,,,,,,,,,,,
KIRUP,Kirup Primary School,,,,,,,,,,,,,,
KONDININ,Kondinin Primary School,,,,,,,,,,,,,,
MANNING,Curtin Primary School,Manning Primary School,St Pius X Catholic School,,,,,,,,,,,,
KOORDA,Koorda Primary School,,,,,,,,,,,,,,
KUKERIN,Kukerin Primary School,,,,,,,,,,,,,,
NORTH PERTH,Kyilla Primary School,North Perth Primary School,,,,,,,,,,,,,
VIA BROOME,La Grange Remote Community School,,,,,,,,,,,,,,
GWELUP,Lake Gwelup Primary School,,,,,,,,,,,,,,
LAKE KING,Lake King Primary School,,,,,,,,,,,,,,
LANCELIN,Lancelin Primary School,,,,,,,,,,,,,,
LATHLAIN,Lathlain Primary School,St Clare's School,,,,,,,,,,,,,
LAVERTON,Laverton School,Laverton School - Mulga Queen Campus,,,,,,,,,,,,,
MAIDA VALE,Maida Vale Primary School,,,,,,,,,,,,,,
MARBLE BAR,Marble Bar Primary School,,,,,,,,,,,,,,
MARMION,Marmion Primary School,,,,,,,,,,,,,,
MECKERING,Meckering Primary School,,,,,,,,,,,,,,
MEDINA,Medina Primary School,,,,,,,,,,,,,,
MENZIES,Menzies Community School,,,,,,,,,,,,,,
MIDVALE,Midvale Primary School,,,,,,,,,,,,,,
MILING,Miling Primary School,,,,,,,,,,,,,,
MINGENEW,Mingenew Primary School,,,,,,,,,,,,,,
MOORINE ROCK,Moorine Rock Primary School,,,,,,,,,,,,,,
MOUNT HAWTHORN,Mount Hawthorn Primary School,Mount Hawthorn Education Support Centre,,,,,,,,,,,,,
MANYPEAKS,Mount Manypeaks Primary School,,,,,,,,,,,,,,
MOUNT MARGARET,Mount Margaret Remote Community School,,,,,,,,,,,,,,
MOUNT PLEASANT,Mount Pleasant Primary School,,,,,,,,,,,,,,
MUNDARING,Mundaring Primary School,Sacred Heart School,Mundaring Christian College,,,,,,,,,,,,
MUNDIJONG,Mundijong Primary School,Serpentine-Jarrahdale Grammar School,,,,,,,,,,,,,
MUNGLINUP,Munglinup Primary School,,,,,,,,,,,,,,
NEWDEGATE,Newdegate Primary School,,,,,,,,,,,,,,
NOLLAMARA,Nollamara Primary School,Our Lady of Lourdes School,West Coast Steiner School,,,,,,,,,,,,
NULLAGINE,Nullagine Primary School,,,,,,,,,,,,,,
NUNGARIN,Nungarin Primary School,,,,,,,,,,,,,,
NYABING,Nyabing Primary School,,,,,,,,,,,,,,
ONGERUP,Ongerup Primary School,,,,,,,,,,,,,,
ONSLOW,Onslow Primary School,,,,,,,,,,,,,,
ORANGE GROVE,Orange Grove Primary School,,,,,,,,,,,,,,
OSBORNE PARK,Osborne Primary School,,,,,,,,,,,,,,
PALMYRA,Palmyra Primary School,Our Lady of Fatima School,,,,,,,,,,,,,
PARKERVILLE,Parkerville Primary School,The Silver Tree Steiner School,Mundaring Christian College - Parkerville Campus,,,,,,,,,,,,
PERENJORI,Perenjori Primary School,,,,,,,,,,,,,,
SOUTH PERTH,South Perth Primary School,St Columba's Catholic Primary School,Wesley College,Hensman Street Pre-School,,,,,,,,,,,
PICKERING BROOK,Pickering Brook Primary School,,,,,,,,,,,,,,
GLEN IRIS,Picton Primary School,Grace Christian School,,,,,,,,,,,,,
PINGRUP,Pingrup Primary School,,,,,,,,,,,,,,
PORT HEDLAND,Port Hedland Primary School,Port Hedland School Of The Air,St Cecilia's Catholic Primary School,Strelley Community School,Strelley Community School - Strelley Station Campus,,,,,,,,,,
QUEENS PARK,Queens Park Primary School,St Joseph's School,St Norbert College,,,,,,,,,,,,
RANGEWAY,Rangeway Primary School,,,,,,,,,,,,,,
REDCLIFFE,Redcliffe Primary School,St Maria Goretti's Catholic School,,,,,,,,,,,,,
EAST FREMANTLE,Richmond Primary School,,,,,,,,,,,,,,
RIVERTON,Riverton Primary School,Riverton Education Support Centre,Queen of Apostles School,,,,,,,,,,,,
ROEBOURNE,Roebourne District High School,,,,,,,,,,,,,,
SALMON GUMS,Salmon Gums Primary School,,,,,,,,,,,,,,
SAWYERS VALLEY,Sawyers Valley Primary School,,,,,,,,,,,,,,
SCARBOROUGH,Scarborough Primary School,St John's School,,,,,,,,,,,,,
SERPENTINE,Serpentine Primary School,,,,,,,,,,,,,,
DENHAM,Shark Bay School,,,,,,,,,,,,,,
SPEARWOOD,Spearwood Primary School,Newton Primary School,Spearwood Alternative School,,,,,,,,,,,,
SPENCER PARK,Spencer Park Primary School,Alta-1 College - Albany Middle School,,,,,,,,,,,,,
SOUTH STIRLING,South Stirling Primary School,,,,,,,,,,,,,,
SWANBOURNE,Swanbourne Primary School,Scotch College,,,,,,,,,,,,,
STRATTON,Middle Swan Primary School,,,,,,,,,,,,,,
UPPER SWAN,Upper Swan Primary School,,,,,,,,,,,,,,
TAMBELLUP,Tambellup Primary School,,,,,,,,,,,,,,
TAMMIN,Tammin Primary School,,,,,,,,,,,,,,
THREE SPRINGS,Three Springs Primary School,,,,,,,,,,,,,,
RIVERVALE,Rivervale Primary School,St Augustine's School,,,,,,,,,,,,,
TRAYNING,Trayning Primary School,,,,,,,,,,,,,,
WALKAWAY,Walkaway Primary School,,,,,,,,,,,,,,
WALPOLE,Walpole Primary School,,,,,,,,,,,,,,
WEMBLEY,Lake Monger Primary School,Wembley Primary School,Telethon Speech & Hearing Centre for Children,Bold Park Community School,,,,,,,,,,,
WANDERING,Wandering Primary School,,,,,,,,,,,,,,
WATHEROO,Watheroo Primary School,,,,,,,,,,,,,,
WATTLE GROVE,Wattle Grove Primary School,,,,,,,,,,,,,,
WELLSTEAD,Wellstead Primary School,,,,,,,,,,,,,,
WEMBLEY DOWNS,Wembley Downs Primary School,Hale School,,,,,,,,,,,,,
WESTMINSTER,Westminster Primary School,Westminster Junior Primary School,Westminster Education Support Centre,St Gerard's Primary School,,,,,,,,,,,
WHITE GUM VALLEY,White Gum Valley Primary School,,,,,,,,,,,,,,
WICKEPIN,Wickepin Primary School,,,,,,,,,,,,,,
WILUNA,Wiluna Remote Community School,,,,,,,,,,,,,,
WOODANILLING,Woodanilling Primary School,,,,,,,,,,,,,,
WOODLANDS,Woodlands Primary School,,,,,,,,,,,,,,
WOOROLOO,Wooroloo Primary School,,,,,,,,,,,,,,
YALGOO,Yalgoo Primary School,,,,,,,,,,,,,,
YARLOOP,Yarloop Primary School,,,,,,,,,,,,,,
YEALERING,Yealering Primary School,,,,,,,,,,,,,,
YERECOIN,Yerecoin Primary School,,,,,,,,,,,,,,
YOKINE,Yokine Primary School,,,,,,,,,,,,,,
YUNA,Yuna Primary School,,,,,,,,,,,,,,
KAMBALDA EAST,Kambalda Primary School,,,,,,,,,,,,,,
USELESS LOOP,Useless Loop Primary School,,,,,,,,,,,,,,
BATEMAN,Bateman Primary School,Corpus Christi College,Yidarra Catholic Primary School,,,,,,,,,,,,
SORRENTO,Sorrento Primary School,Sacred Heart College,,,,,,,,,,,,,
WALLISTON,Walliston Primary School,Kalamunda Christian School,,,,,,,,,,,,,
SCADDAN,Scaddan Primary School,,,,,,,,,,,,,,
CAMILLO,Westfield Park Primary School,Grovelands Primary School,John Wollaston Anglican Community School,,,,,,,,,,,,
HAMERSLEY,Glendale Primary School,East Hamersley Primary School,,,,,,,,,,,,,
LOCKRIDGE,Lockridge Primary School,Good Shepherd Catholic School,,,,,,,,,,,,,
PARMELIA,North Parmelia Primary School,St Vincent's School,,,,,,,,,,,,,
LEEMAN,Leeman Primary School,,,,,,,,,,,,,,
EAST CANNINGTON,Gibbs Street Primary School,,,,,,,,,,,,,,
PARABURDOO,Paraburdoo Primary School,,,,,,,,,,,,,,
WICKHAM,Wickham Primary School,,,,,,,,,,,,,,
GOOSEBERRY HILL,Gooseberry Hill Primary School,Mary's Mount Primary School,,,,,,,,,,,,,
PANNAWONICA,Pannawonica Primary School,,,,,,,,,,,,,,
KALLAROO,Springfield Primary School,,,,,,,,,,,,,,
CERVANTES,Cervantes Primary School,,,,,,,,,,,,,,
HILLARYS,Hillarys Primary School,St Mark's Anglican Community School,,,,,,,,,,,,,
CASCADE,Cascade Primary School,,,,,,,,,,,,,,
HILLMAN,Hillman Primary School,,,,,,,,,,,,,,
BULL CREEK,Bull Creek Primary School,Oberthur Primary School,All Saints' College,,,,,,,,,,,,
KOONDOOLA,Koondoola Primary School,Waddington Primary School,Burbridge School,Mercy College,,,,,,,,,,,
SHELLEY,Shelley Primary School,,,,,,,,,,,,,,
LANGFORD,Brookman Primary School,St Jude's Catholic School,Langford Islamic College,,,,,,,,,,,,
YANDEYARRA COMMUNITY,Yandeyarra Remote Community School,,,,,,,,,,,,,,
HUNTINGDALE,Huntingdale Primary School,,,,,,,,,,,,,,
LEINSTER,Leinster Community School,,,,,,,,,,,,,,
COOLOONGUP,Cooloongup Primary School,East Waikiki Primary School,,,,,,,,,,,,,
FORRESTDALE,Forrestdale Primary School,Carey Baptist College Forrestdale,,,,,,,,,,,,,
LYNWOOD,Bannister Creek Primary School,Fountain College - Lynwood Campus,,,,,,,,,,,,,
WAGGRAKINE,Waggrakine Primary School,,,,,,,,,,,,,,
HEATHRIDGE,Heathridge Primary School,Eddystone Primary School,Poseidon Primary School,,,,,,,,,,,,
KENWICK,East Kenwick Primary School,Kenwick School,Rehoboth Christian College,Communicare Academy,,,,,,,,,,,
QUINNS ROCKS,Quinns Rocks Primary School,Quinns Beach Primary School,,,,,,,,,,,,,
KINGSLEY,Goollelal Primary School,Creaney Primary School,Halidon Primary School,Dalmain Primary School,Creaney Education Support Centre,The Montessori School,,,,,,,,,
EDGEWATER,Edgewater Primary School,Mater Dei College,,,,,,,,,,,,,
GLEN HILL STATION,Jungdranung Remote Community School,,,,,,,,,,,,,,
LOOMA,Looma Remote Community School,,,,,,,,,,,,,,
SAMSON,Samson Primary School,Seton Catholic College,,,,,,,,,,,,,
BIBRA LAKE,Bibra Lake Primary School,Perth Waldorf School,Blue Gum Montessori School,,,,,,,,,,,,
MARANGAROO,Marangaroo Primary School,Rawlinson Primary School,,,,,,,,,,,,,
CLIFTON PARK,Clifton Park Primary School,,,,,,,,,,,,,,
ALEXANDER HEIGHTS,Alinjarra Primary School,,,,,,,,,,,,,,
MIRRABOOKA,Dryandra Primary School,Boyare Primary School,John Septimus Roe Anglican Community School,,,,,,,,,,,,
WANNANUP,Falcon Primary School,,,,,,,,,,,,,,
GREENFIELDS,Greenfields Primary School,Riverside Primary School,Riverside Education Support Centre,Foundation Christian College,,,,,,,,,,,
WINTHROP,Winthrop Primary School,,,,,,,,,,,,,,
WILLIAMS,Williams Primary School,,,,,,,,,,,,,,
WUNDOWIE,Wundowie Primary School,,,,,,,,,,,,,,
GOOMALLING,Goomalling Primary School,Sacred Heart Catholic School,,,,,,,,,,,,,
MOUNT JAMES,Burringurrah Remote Community School,,,,,,,,,,,,,,
CONNOLLY,Connolly Primary School,,,,,,,,,,,,,,
WAIKIKI,Charthouse Primary School,Waikiki Primary School,South Coast Baptist College,,,,,,,,,,,,
LEDA,Leda Primary School,Leda Education Support Centre,,,,,,,,,,,,,
GIDGEGANNUP,Gidgegannup Primary School,,,,,,,,,,,,,,
SEVILLE GROVE,Willandra Primary School,,,,,,,,,,,,,,
SINGLETON,Singleton Primary School,,,,,,,,,,,,,,
MERRIWA,Merriwa Primary School,Merriwa Education Support Centre,Alkimos Baptist College,Alta-1 College - Merriwa Campus,,,,,,,,,,,
PORT KENNEDY,Port Kennedy Primary School,Endeavour Primary School,Rockingham Lakes Primary School,Endeavour Education Support Centre,Peel Language Development School,St Bernadette's Catholic Primary School,,,,,,,,,
CURRAMBINE,Currambine Primary School,Francis Jordan Catholic School,,,,,,,,,,,,,
LITTLE GROVE,Little Grove Primary School,,,,,,,,,,,,,,
LANDSDALE,Landsdale Primary School,Landsdale Christian School,Carnaby Rise Primary School,,,,,,,,,,,,
DAWESVILLE,Ocean Road Primary School,St Damien's Catholic Primary School,,,,,,,,,,,,,
DUMBLEYUNG,Dumbleyung Primary School,,,,,,,,,,,,,,
MIDLAND,Moorditj Noongar Community College,Corridors College,School of Special Educational Needs: Behaviour and Engagement - Midland Learning Academy,,,,,,,,,,,,
CARRAMAR,Carramar Primary School,,,,,,,,,,,,,,
BUTLER,Butler Primary School,East Butler Primary School,Irene McCormack Catholic College,Brighton Catholic Primary School,Butler College,John Butler Primary College,,,,,,,,,
MURCHISON,Pia Wadjarri Remote Community School,,,,,,,,,,,,,,
YULGA JINNA REMOTE COMMUNITY,Yulga Jinna Remote Community School,,,,,,,,,,,,,,
COOLBELLUP,Coolbellup Community School,Coolbellup Learning Centre,,,,,,,,,,,,,
KOONGAMIA,Clayton View Primary School,,,,,,,,,,,,,,
WILLAGEE,Caralee Community School,Fremantle Language Development Centre,,,,,,,,,,,,,
MAYLANDS,Maylands Peninsula Primary School,KIDS Open Learning School,,,,,,,,,,,,,
TWO ROCKS,Two Rocks Primary School,Atlantis Beach Baptist College,,,,,,,,,,,,,
HOPETOUN,Hopetoun Primary School,,,,,,,,,,,,,,
BERTRAM,Bertram Primary School,,,,,,,,,,,,,,
PINGELLY,Pingelly Primary School,,,,,,,,,,,,,,
HOCKING,Hocking Primary School,St Elizabeth's Catholic Primary School,,,,,,,,,,,,,
SOUTHERN RIVER,Bletchley Park Primary School,Thornlie Christian College,,,,,,,,,,,,,
MADELEY,Madeley Primary School,,,,,,,,,,,,,,
GREAT VICTORIA DESERT,Tjuntjuntjara Remote Community School,,,,,,,,,,,,,,
CRAIGIE,Craigie Heights Primary School,Whitford Catholic Primary School,,,,,,,,,,,,,
MEADOW SPRINGS,Meadow Springs Education Support Centre,Meadow Springs Primary School,,,,,,,,,,,,,
HILBERT,Xavier Catholic School,,,,,,,,,,,,,,
ST JAMES,Santa Clara School,,,,,,,,,,,,,,
BRUNSWICK,St Michael's School,,,,,,,,,,,,,,
WATERFORD,Clontarf Aboriginal College,,,,,,,,,,,,,,
BEDFORD,Chisholm Catholic College,,,,,,,,,,,,,,
JOONDANNA,St Denis School,,,,,,,,,,,,,,
SALTER POINT,Aquinas College,,,,,,,,,,,,,,
MERREDIN,St Mary's School,Merredin College,,,,,,,,,,,,,
PERTH,Mercedes College,St George's Anglican Grammar School,Kingston International College,,,,,,,,,,,,
EAST PERTH,Trinity College,,,,,,,,,,,,,,
MUNSTER,St Jerome's Primary School,,,,,,,,,,,,,,
MARTIN,Lumen Christi College,,,,,,,,,,,,,,
BICKLEY,Carmel Adventist College Primary School,,,,,,,,,,,,,,
CARMEL,Carmel Adventist College,,,,,,,,,,,,,,
GELORUP,Bunbury Cathedral Grammar School,,,,,,,,,,,,,,
KRONKUP,Woodbury Boston Primary School,,,,,,,,,,,,,,
BEDFORDALE,Southern Hills Christian College,,,,,,,,,,,,,,
FOREST GROVE,Margaret River Independent School,,,,,,,,,,,,,,
STRATHALBYN,Strathalbyn Christian College,,,,,,,,,,,,,,
BROOKDALE,Australian Christian College - Darling Downs,,,,,,,,,,,,,,
CHAMPION LAKES,Kelmscott John Calvin School,,,,,,,,,,,,,,
BURSWOOD,Perth Montessori School,,,,,,,,,,,,,,
WELLARD,The King's College,Peter Carnley Anglican Community School,,,,,,,,,,,,,
GLENDALOUGH,Chrysalis Montessori School,,,,,,,,,,,,,,
DAYTON,Riverlands Montessori School,,,,,,,,,,,,,,
YALLINGUP,Yallingup Steiner School,,,,,,,,,,,,,,
HARRISDALE,Carey Baptist College,Harrisdale Primary School,Harrisdale Senior High School,,,,,,,,,,,,
YALYALUP,Georgiana Molloy Anglican School,,,,,,,,,,,,,,
KALGAN,Great Southern Grammar School,,,,,,,,,,,,,,
ROELANDS,Hope Christian College,,,,,,,,,,,,,,
PICTON,Bunbury John Calvin School,John Calvin Christian College - Picton Campus,,,,,,,,,,,,,
LAKELANDS,Mandurah Baptist College,Lakelands Primary School,,,,,,,,,,,,,
AVELEY,Swan Valley Anglican Community School,Aveley Primary School,,,,,,,,,,,,,
FERNDALE,Fountain College,,,,,,,,,,,,,,
VIA WARBURTON RANGES,Ngaanyatjarra Lands School - Warburton Campus,Ngaanyatjarra Lands School - Warakurna Campus,,,,,,,,,,,,,
ALICE SPRINGS,Ngaanyatjarra Lands School - Wingellina Campus,,,,,,,,,,,,,,
BLACKSTONE COMMUNITY,Ngaanyatjarra Lands School - Blackstone Campus,,,,,,,,,,,,,,
WARBURTON RANGES,Ngaanyatjarra Lands School - Jameson Campus,Ngaanyatjarra Lands School - Tjirrkarli Campus,,,,,,,,,,,,,
KIWIRRKURRA,Ngaanyatjarra Lands School - Kiwirrkurra Campus,,,,,,,,,,,,,,
NGAANYATJARRA SHIRE,Ngaanyatjarra Lands School - Tjukurla Campus,,,,,,,,,,,,,,
VIA LAVERTON,Ngaanyatjarra Lands School - Wanarn Campus,,,,,,,,,,,,,,
COSMO NEWBERRY,Laverton School - Cosmo Newberry Campus,,,,,,,,,,,,,,
AUBIN GROVE,Aubin Grove Primary School,,,,,,,,,,,,,,
SOUTH YUNDERUP,Austin Cove Baptist College,Austin Cove Baptist College - California Crescent Campus,,,,,,,,,,,,,
ROLEYSTONE,Roleystone Community College,,,,,,,,,,,,,,
ROTTNEST ISLAND,Beaconsfield Primary School - Rottnest Island Campus,,,,,,,,,,,,,,
MILLSTREAM,Roebourne District High School - Ngurrawaana Campus,,,,,,,,,,,,,,
PIARA WATERS,Piara Waters Primary School,St John Bosco College,,,,,,,,,,,,,
LOWER CHITTERING,Immaculate Heart College,,,,,,,,,,,,,,
BAYNTON,Baynton West Primary School,,,,,,,,,,,,,,
PEARSALL,Pearsall Primary School,,,,,,,,,,,,,,
HAMMOND PARK,Hammond Park Catholic Primary School,Hammond Park Primary School,,,,,,,,,,,,,
MURDOCH,Kennedy Baptist College,School of Special Education Needs: Medical and Mental Health - Fiona Stanley Hospital: Paediatrics,School of Special Education Needs: Medical and Mental Health - Fiona Stanley Hospital: State Rehabilitation,St George's Anglican Grammar School - Murdoch University Campus,,,,,,,,,,,
WANDINA,Wandina Primary School,,,,,,,,,,,,,,
ALKIMOS,St James' Anglican School,Alkimos Primary School,Alkimos Beach Primary School,Northshore Christian Grammar School,Swan Christian College - Alkimos Campus (Northshore),,,,,,,,,,
GOLDEN BAY,Golden Bay Primary School,,,,,,,,,,,,,,
WANDI,Honeywood Primary School,,,,,,,,,,,,,,
COCKBURN CENTRAL,Alta-1 College - Cooper Road Campus,Alta-1 College - Hammond Road Campus,,,,,,,,,,,,,
